"SIG_CD","SIG_ENG_NM","year","COavg","NO2avg","O3avg","PM10avg","SO2avg","PM25avg","PM10freq","PM10freqUS","PM10xtrm","PM10xtrmUS","PM10hrs","avghrs","tavg","tmin","tmax","ppt","wmax","wavg","huminavg","sunsum"
26440,"Gangseo-gu",2019,0.402952911187501,0.0202810554293166,0.0295469600768775,39.2418535127013,0.00444477138847762,22.3862271898501,10,0,0,0,399,1.09315068493151,15.5890410958904,11.2698630136986,21.141095890411,1498.2,5.02356164383562,2.08383561643836,64.6452054794521,2536.5
26440,"Gangseo-gu",2020,0.383549479502969,0.0184943950236853,0.0300588055646719,31.4261443890298,0.00367608467218152,18.0311802776151,2,0,0,0,110,0.300546448087432,14.7972677595628,10.5726775956284,20.1931693989071,1718.5,4.79207650273224,1.93251366120219,66.0005464480874,2362.1
26440,"Gangseo-gu",2021,0.355026317581685,0.0186708408263069,0.0309833793801105,32.98133960662,0.00315714092027427,16.4443825810806,8,3,3,1,250,0.684931506849315,15.1649315068493,10.7501369863014,20.6712328767123,1553.3,4.50219178082192,1.72821917808219,66.7468493150685,2330.6
26470,"Yeonje-gu",2001,0.775141647694992,0.0296434159957371,0.0234726715705523,57.7889946973836,0.00764619394254524,NA,46,4,4,0,1352,3.7041095890411,15.3715068493151,12.047397260274,19.9923287671233,1190.3,6.88246575342466,3.60493150684932,64.6145205479452,2065.9
26470,"Yeonje-gu",2002,0.714389227349896,0.0296995013418186,0.0215987823982285,66.0179911128727,0.0063998069651473,NA,83,8,8,2,1937,5.30684931506849,14.7120547945205,11.4619178082192,18.9139726027397,2094.2,7.43150684931507,3.86684931506849,64.0446575342466,2023.9
26470,"Yeonje-gu",2003,0.649071262280997,0.0268863932653076,0.021858527921673,52.800727447766,0.00602171990103976,NA,48,0,0,0,1261,3.45479452054795,14.3386301369863,11.1824657534247,18.5076712328767,2369.8,6.58465753424657,3.18630136986301,65.3024657534247,1845.8
26470,"Yeonje-gu",2004,0.606655527209115,0.026452757051403,0.0218153953897619,60.1043807446981,0.00691598968008661,NA,58,2,3,0,1685,4.60382513661202,14.9010928961749,11.4953551912568,19.3210382513661,1403,6.55792349726776,3.09180327868852,59.9625683060109,2409.7
26470,"Yeonje-gu",2005,0.548840767216701,0.0264801982308789,0.020443305157048,56.8638398510459,0.005814834196345,NA,58,1,1,0,1605,4.3972602739726,13.8832876712329,10.5564383561644,18.1898630136986,1410.4,6.42684931506849,3.04465753424658,59.6397260273973,2416.2
26470,"Yeonje-gu",2006,0.522136343683294,0.0260435544800865,0.0221031831548198,57.0121161051177,0.00548441701286973,NA,58,5,5,1,1489,4.07945205479452,14.7139726027397,11.4531506849315,18.9216438356164,1558.8,6.53506849315068,3.09232876712329,62.3547945205479,2197.9
26470,"Yeonje-gu",2007,0.497843930941133,0.0260579068365875,0.0215098278742134,54.3846502827354,0.00527255523498376,NA,50,3,3,1,1240,3.3972602739726,15.3353424657534,12.4142465753425,19.1558904109589,1278,6.78219178082192,3.27041095890411,61.5328767123288,2189.2
26470,"Yeonje-gu",2008,0.478601150628817,0.026565262620979,0.0231244942624688,49.0458702235645,0.00514348819709018,NA,31,1,1,1,817,2.23224043715847,15.0218579234973,12.0456284153005,18.8546448087432,1171.7,6.59234972677596,3.20874316939891,62.9726775956284,2346
26470,"Yeonje-gu",2009,0.484812133510038,0.0262007164631987,0.0242963357620472,47.6715415059541,0.00485543429884163,NA,29,1,1,0,808,2.21369863013699,15.1983561643836,12.1043835616438,19.2016438356164,1796,6.88547945205479,3.3558904109589,61.4268493150685,2155.7
26470,"Yeonje-gu",2010,0.468462072239046,0.0258807641567866,0.0231389397831145,48.3654079433836,0.00541356915218313,NA,28,3,3,0,858,2.35068493150685,14.9876712328767,11.721095890411,19.038904109589,1454.2,6.68602739726027,3.26547945205479,62.1375342465753,2250.8
26470,"Yeonje-gu",2011,0.436272859739478,0.0234706503481332,0.024489656555388,47.2681360239688,0.00576987890325894,NA,27,3,4,1,823,2.25479452054795,14.5945205479452,11.3520547945205,18.7720547945205,1510.6,6.7041095890411,3.32520547945205,60.1542465753425,2294.6
26470,"Yeonje-gu",2012,0.459464402707777,0.0244806275161254,0.0257566700240542,42.5057000428358,0.00582301519927223,NA,16,0,0,0,541,1.47814207650273,14.5677595628415,11.3573770491803,18.6046448087432,2011.2,6.62595628415301,3.2483606557377,58.2827868852459,2563.4
26470,"Yeonje-gu",2013,0.471909162250883,0.023558362569654,0.0259876016271481,46.9420023284824,0.00624269473673961,NA,28,0,0,0,748,2.04931506849315,15.3230136986301,11.8627397260274,19.5569863013699,1148.3,6.92547945205479,3.39753424657534,56.7904109589041,2771
26470,"Yeonje-gu",2014,0.439906153674492,0.0220095524200501,0.0264616110922209,48.267441211498,0.005842988142653,NA,26,1,1,0,897,2.45753424657534,15.1290410958904,11.9964383561644,19.286301369863,1731.9,6.36493150684931,3.16027397260274,66.3632876712329,2481.2
26470,"Yeonje-gu",2015,0.405419953845519,0.0213807592025483,0.0266907204803558,46.0431009177963,0.00535178731142312,26.0542828059435,22,1,1,0,749,2.05205479452055,15.4805479452055,12.252602739726,19.5835616438356,1398,6.24602739726027,3.10109589041096,67.2090410958904,2534.8
26470,"Yeonje-gu",2016,0.430750839652582,0.0231442552914821,0.0282251474213418,44.7109174454597,0.00487268478064691,26.4913983400579,18,2,2,0,605,1.65300546448087,15.7366120218579,12.5688524590164,19.8639344262295,1792.9,6.38852459016393,3.11120218579235,66.0300546448087,2514.9
26470,"Yeonje-gu",2017,0.390890866653267,0.0229167529360565,0.030063129076462,44.7794359000563,0.00469164348261876,25.4032107917016,14,0,0,0,496,1.35890410958904,15.2545205479452,11.7416438356164,19.6276712328767,1017,6.49178082191781,3.16794520547945,60.3002739726027,2788.8
26470,"Yeonje-gu",2018,0.390752095279653,0.0213763429705677,0.0269513393280493,41.5749979247116,0.00464453293749863,25.4032107917016,18,1,1,0,617,1.69041095890411,15.1150684931507,11.8509589041096,19.2893150684931,1781.6,6.52547945205479,3.17698630136986,63.1147945205479,2672.5
26470,"Yeonje-gu",2019,0.395904618168536,0.0200772268728359,0.0306551283943903,36.5187849604256,0.00435683580279514,20.4514961475553,10,0,0,0,288,0.789041095890411,15.7515068493151,12.5309589041096,19.8761643835616,1625.9,6.11452054794521,3.0441095890411,62.7758904109589,2691.3
26470,"Yeonje-gu",2020,0.393277302318253,0.0178155184353895,0.0301444026458823,30.1827150642382,0.00336520287105022,16.3776318653129,2,0,0,0,100,0.273224043715847,15.2054644808743,11.9546448087432,19.446174863388,2297.4,6.45846994535519,3.16666666666667,63.6453551912568,2450.7
26470,"Yeonje-gu",2021,0.343413459778758,0.0169240402380646,0.0313526454127762,30.9587461085105,0.00281712453955852,14.9184895684039,7,3,3,1,253,0.693150684931507,15.7712328767123,12.4498630136986,19.9591780821918,1818.4,6.46794520547945,3.1172602739726,64.906301369863,2391.3
26500,"Suyeong-gu",2001,0.767150752076826,0.0290972214855996,0.0234147494422313,57.8209174948311,0.00769836496078656,NA,45,4,4,0,1324,3.62739726027397,15.3715068493151,12.047397260274,19.9923287671233,1180.8,6.88246575342466,3.60493150684932,64.6145205479452,2065.9
26500,"Suyeong-gu",2002,0.680887965392201,0.0276683650707946,0.022964471302866,64.8537975392893,0.00628753480890392,NA,73,8,8,2,1805,4.94520547945205,14.7120547945205,11.4619178082192,18.9139726027397,2088.4,7.43150684931507,3.86684931506849,64.0446575342466,2023.9
26500,"Suyeong-gu",2003,0.631824445897089,0.0255207478559499,0.0238803802257238,52.0286461574884,0.00613235450080752,NA,48,0,0,0,1191,3.26301369863014,14.3386301369863,11.1824657534247,18.5076712328767,2334.7,6.58465753424657,3.18630136986301,65.3024657534247,1845.8
26500,"Suyeong-gu",2004,0.576853891227601,0.0244295498668643,0.024312690931749,58.9753851181291,0.00693096307404679,NA,55,2,3,0,1582,4.3224043715847,14.9010928961749,11.4953551912568,19.3210382513661,1389,6.55792349726776,3.09180327868852,59.9625683060109,2409.7
26500,"Suyeong-gu",2005,0.518378435826462,0.024764983342677,0.0229959130150282,55.7504853158276,0.00566073266414087,NA,51,1,1,0,1513,4.14520547945205,13.8832876712329,10.5564383561644,18.1898630136986,1409,6.42684931506849,3.04465753424658,59.6397260273973,2416.2
26500,"Suyeong-gu",2006,0.494660758915852,0.0242033395467658,0.0250708173875518,55.0015036174315,0.00559632490808617,NA,52,5,5,1,1365,3.73972602739726,14.7139726027397,11.4531506849315,18.9216438356164,1535.7,6.53506849315068,3.09232876712329,62.3547945205479,2197.9
26500,"Suyeong-gu",2007,0.472446318432835,0.0241544419044306,0.0239613121795983,52.9670907324819,0.00549074042489178,NA,45,3,3,1,1173,3.21369863013699,15.3353424657534,12.4142465753425,19.1558904109589,1305.7,6.78219178082192,3.27041095890411,61.5328767123288,2189.2
26500,"Suyeong-gu",2008,0.453967767400668,0.023678447759333,0.0264030023631221,48.2552970241961,0.00536033596529262,NA,27,1,1,1,786,2.14754098360656,15.0218579234973,12.0456284153005,18.8546448087432,1176.4,6.59234972677596,3.20874316939891,62.9726775956284,2346
26500,"Suyeong-gu",2009,0.450580275557906,0.0230852536805549,0.0271671206162807,45.9681502302694,0.00500294769793364,NA,24,1,1,0,714,1.95616438356164,15.1983561643836,12.1043835616438,19.2016438356164,1796,6.88547945205479,3.3558904109589,61.4268493150685,2155.7
26500,"Suyeong-gu",2010,0.454628022820454,0.0230597374579353,0.0264042638666485,45.2135357412557,0.00551634651721824,NA,22,3,3,0,618,1.69315068493151,14.9876712328767,11.721095890411,19.038904109589,1454.2,6.68602739726027,3.26547945205479,62.1375342465753,2250.8
26500,"Suyeong-gu",2011,0.431438677709283,0.0213013199765995,0.0275811483570808,44.4571448189893,0.00585809490204417,NA,20,3,3,1,669,1.83287671232877,14.5945205479452,11.3520547945205,18.7720547945205,1510.6,6.7041095890411,3.32520547945205,60.1542465753425,2294.6
26500,"Suyeong-gu",2012,0.462253282081423,0.022489202031424,0.0291032708567947,39.4707562316183,0.00605474775473525,NA,11,0,0,0,395,1.0792349726776,14.5677595628415,11.3573770491803,18.6046448087432,2011.2,6.62595628415301,3.2483606557377,58.2827868852459,2563.4
26500,"Suyeong-gu",2013,0.477654360781881,0.0224588342061996,0.0289762222221947,43.724504744138,0.00663107643410421,NA,16,0,0,0,539,1.47671232876712,15.3230136986301,11.8627397260274,19.5569863013699,1148.3,6.92547945205479,3.39753424657534,56.7904109589041,2771
